trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-4089416.64,16,col,1,True,3518386,5210163,28560,1040472,7392,0,492840,312,0,2174988,1040,0,112.43921568627451,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,4,mesh2d,xy,credit_vc,4,load_aware,load_aware
1,-4089281.04,16,k_split,1,True,3518386,5210163,28560,1040472,7392,0,491796,0,0,2180952,1040,0,112.43921568627451,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,16,mesh2d,table_based,wormhole,1,nearest,load_aware
2,-943180.216,4,block,4,False,659879,325698,35187,518200,3942,311383,234126,0,0,439140,216,0,22.815698979736833,1.0,cube,16,27,5,torus2d,ugal,credit_vc,1,16,mesh2d,table_based,credit_vc,1,load_aware,round_robin
3,-4081972.44,16,entwined_ring,2,True,3501793,5210163,11967,1040472,7392,0,584640,0,0,803508,1040,0,268.34327734603494,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,4,mesh2d,xy,credit_vc,4,nearest,load_aware
4,-766837.5939999999,4,block,4,True,498661,648243,7944,518200,4681,65475,81396,6,0,183744,194,0,101.05941591137966,1.0,cube,16,27,5,torus2d,table_based,credit_vc,2,4,flat_butterfly,xy,wormhole,1,load_aware,nearest
5,-2328366.5560000003,16,hybrid_nk,7,False,1786316,2629698,16800,1040472,7638,0,202860,0,0,6676380,956,0,191.14666666666668,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,8,flat_butterfly,ugal,wormhole,1,nearest,nearest
6,-2400160.2399999998,16,col,1,False,1791032,2629698,21516,1040472,7392,0,874128,0,0,548256,1040,0,149.25004647704034,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,16,mesh2d,table_based,credit_vc,4,nearest,load_aware
7,-4224076.447999999,16,streaming,1,True,3532858,5210163,43032,1040472,9363,0,1691088,0,0,544248,1048,0,74.62502323852017,1.0,cube,16,27,5,torus2d,xy,credit_vc,1,8,mesh2d,table_based,wormhole,4,load_aware,round_robin
8,-4123566.2399999998,16,col,7,True,3528397,5210163,38571,1040472,7392,0,734538,0,0,3607260,1040,0,83.25591765834436,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,2,16,mesh2d,ugal,credit_vc,8,nearest,load_aware
9,-1259061.612,4,block,1,False,718878,657474,16782,1034712,3449,0,221376,0,0,114036,212,0,47.83792158264808,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,8,mesh2d,table_based,credit_vc,2,nearest,load_aware
