trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-1395948.616,4,expert,1,True,876424,1302579,1034712,3942,0,13800,0,0,782823,216,0,216.860075634792,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,16,mesh2d,table_based,wormhole,1,nearest,round_robin
1,-1396679.0939999998,4,row,1,True,877163,1302579,1034712,4681,0,12231,6,0,469587,194,0,324.10819539765845,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,2,4,flat_butterfly,xy,credit_vc,8,load_aware,nearest
2,-1414187.616,4,row,1,True,886852,1302579,1034712,3942,0,91910,0,0,792441,216,0,55.86750173973556,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,2,8,flat_butterfly,xy,wormhole,1,load_aware,round_robin
3,-4317231.248,16,hybrid_nk,2,True,3540586,5210163,1040472,9363,0,2545356,0,0,804072,1048,0,63.26367218282112,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,8,mesh2d,ugal,wormhole,8,load_aware,round_robin
4,-2339100.64,16,hybrid_nk,2,False,1798748,2629698,1040472,7392,0,186372,0,0,6603036,1040,0,109.8544061302682,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,16,mesh2d,xy,wormhole,8,load_aware,load_aware
5,-1554793.5159999998,4,hybrid_nk,1,True,935527,1302579,1034712,3942,0,1011219,0,0,539652,216,0,12.734015385835514,1.0,cube,16,27,5,mesh2d,ugal,wormhole,1,8,flat_butterfly,xy,wormhole,8,load_aware,round_robin
6,-2329322.4480000003,16,k_split,2,False,1784372,2629698,1040472,9363,0,228408,0,0,1966992,1048,0,216.15939687668282,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,2,16,mesh2d,xy,wormhole,1,nearest,round_robin
7,-228797.816,4,k_split,7,True,150126,197939,149059,3942,4126,33537,0,0,458196,216,0,58.84022280856054,1.0,cube,16,27,5,torus2d,ugal,wormhole,2,16,mesh2d,table_based,credit_vc,4,load_aware,round_robin
8,-2356021.156,16,entwined_ring,2,False,1780247,2629698,1040472,7638,0,540096,0,0,667680,956,0,299.2511415525114,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,16,mesh2d,table_based,wormhole,2,nearest,nearest
9,-1279428.5159999998,4,expert,1,False,724383,657474,1034712,3942,0,369009,0,0,175458,216,0,36.02171669583165,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,8,mesh2d,table_based,credit_vc,1,load_aware,round_robin
10,-217230.394,4,k_split,7,True,141163,197939,149059,4681,4126,6015,0,0,503346,194,0,526.0917431192661,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,4,mesh2d,table_based,wormhole,8,load_aware,nearest
11,-4216316.0479999995,16,col,2,True,3612118,5210163,1040472,9363,0,820884,0,0,6972072,1048,0,26.25898668760017,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,16,mesh2d,xy,credit_vc,1,nearest,round_robin
12,-1407224.116,4,hybrid_nk,1,True,885778,1302579,1034712,3942,0,33015,0,0,416475,216,0,60.380264741275575,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,4,flat_butterfly,xy,wormhole,8,nearest,round_robin
13,-320985.91599999997,4,entwined_ring,4,False,189572,164418,259944,3942,1598,6533,0,0,782979,216,0,60.507687669580946,0.49238769972867047,cube,16,27,5,torus2d,ugal,credit_vc,4,16,mesh2d,xy,wormhole,4,nearest,round_robin
14,-1428353.716,4,row,1,True,888466,1302579,1034712,3942,0,217431,0,0,118128,216,0,50.226226226226224,1.0,cube,16,27,5,torus2d,xy,wormhole,1,8,flat_butterfly,table_based,credit_vc,1,nearest,round_robin
15,-205000.29400000002,4,k_split,7,False,119979,105154,149059,4681,8240,95553,1,0,90753,194,0,105.9823102310231,1.0,cube,16,27,5,torus2d,xy,wormhole,1,4,mesh2d,ugal,wormhole,8,load_aware,nearest
