trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-287055.91599999997,4,entwined_ring,7,False,209407,95262,3688,149294,3942,108200,22133,0,0,501765,216,0,217.68329718004338,1.0,cube,16,27,5,butterfly,xy,credit_vc,4,8,mesh2d,table_based,credit_vc,1,load_aware,round_robin
1,-311979.41199999995,4,col,7,True,233891,188687,7419,149294,3449,107941,27514,0,0,709995,212,0,108.21081008222133,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,8,flat_butterfly,table_based,credit_vc,4,load_aware,load_aware
2,-321488.094,4,col,7,False,239632,95262,7938,149294,4681,138425,62685,42,0,818145,194,0,101.1358024691358,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,2,4,flat_butterfly,table_based,wormhole,1,nearest,nearest
3,-434425.79400000005,4,col,4,True,301987,325683,2535,259944,4681,83841,15304,0,0,444195,194,0,316.69270216962525,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,8,flat_butterfly,table_based,wormhole,1,load_aware,nearest
4,-386051.41199999995,4,col,4,True,254562,325683,5059,259944,3449,36416,8274,0,0,764127,212,0,158.69065032615143,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,16,butterfly,ugal,wormhole,4,load_aware,load_aware
5,-2303836.456,16,col,1,False,1777154,2629698,6729,1040472,7638,0,49179,0,0,9176640,956,0,477.2275226631,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,4,8,flat_butterfly,xy,credit_vc,8,nearest,nearest
6,-725757.716,4,entwined_ring,2,True,464816,651315,2583,518200,3942,28558,10531,0,0,581640,216,0,310.80758807588074,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,4,butterfly,table_based,wormhole,2,load_aware,round_robin
7,-337273.494,4,col,7,False,254565,95262,6183,149294,4681,153358,71251,0,0,201906,194,0,129.84247129225295,1.0,cube,16,27,5,supermesh_bi,xy,credit_vc,2,16,flat_butterfly,xy,wormhole,4,nearest,nearest
8,-2305288.456,16,entwined_ring,2,False,1777154,2629698,4029,1040472,7638,0,63699,0,0,10556544,956,0,797.0374782824522,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,8,mesh2d,ugal,credit_vc,2,load_aware,nearest
9,-358453.89400000003,4,col,7,True,279308,188687,3091,149294,4681,153358,35625,0,0,201906,194,0,259.72694920737626,1.0,cube,16,27,5,mesh2d,xy,wormhole,2,4,mesh2d,xy,wormhole,8,nearest,nearest
10,-286222.61600000004,4,entwined_ring,7,False,209407,95262,3702,149294,3942,108200,13800,0,0,782823,216,0,216.860075634792,1.0,cube,16,27,5,supermesh_alter,xy,wormhole,4,16,flat_butterfly,xy,credit_vc,8,nearest,round_robin
