trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-4165871.04,16,col,1,True,3534310,5210163,44484,1040472,7392,0,1098456,0,0,1331796,1040,0,72.18919161945868,1.0,cube,16,27,5,supermesh_alter,xy,credit_vc,2,4,mesh2d,xy,credit_vc,4,load_aware,load_aware
1,-4076331.156,16,col,1,True,3500557,5210163,10731,1040472,7638,0,540096,0,0,667680,956,0,299.2511415525114,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,4,butterfly,ugal,credit_vc,1,nearest,nearest
2,-287055.91599999997,4,entwined_ring,7,False,209407,95262,3688,149294,3942,108200,22133,0,0,501765,216,0,217.68329718004338,1.0,cube,16,27,5,butterfly,xy,credit_vc,4,8,mesh2d,table_based,credit_vc,1,load_aware,round_robin
3,-4081972.44,16,entwined_ring,2,True,3501793,5210163,11967,1040472,7392,0,584640,0,0,803508,1040,0,268.34327734603494,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,4,mesh2d,xy,credit_vc,4,nearest,load_aware
4,-704234.0939999999,4,entwined_ring,7,True,600691,188687,74253,149294,4681,474741,279597,0,0,762441,194,0,10.811899855898078,1.0,cube,16,27,5,supermesh_bi,ugal,credit_vc,2,4,flat_butterfly,xy,wormhole,1,load_aware,nearest
5,-2328366.5560000003,16,entwined_ring,7,False,1786316,2629698,16800,1040472,7638,0,202860,0,0,6676380,956,0,191.14666666666668,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,8,flat_butterfly,ugal,wormhole,1,nearest,nearest
6,-2432093.44,16,col,1,False,1793450,2629698,23934,1040472,7392,0,1169280,0,0,803508,1040,0,134.17163867301747,1.0,cube,16,27,5,supermesh_bi,table_based,wormhole,1,16,mesh2d,table_based,credit_vc,4,nearest,load_aware
7,-4317231.248,16,entwined_ring,1,True,3540586,5210163,50760,1040472,9363,0,2545356,0,0,804072,1048,0,63.26367218282112,1.0,cube,16,27,5,supermesh_bi,xy,credit_vc,1,8,butterfly,xy,wormhole,4,load_aware,round_robin
8,-4123566.2399999998,16,col,7,True,3528397,5210163,38571,1040472,7392,0,734538,0,0,3607260,1040,0,83.25591765834436,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,2,16,mesh2d,ugal,credit_vc,8,nearest,load_aware
9,-1234221.4120000002,4,entwined_ring,1,False,709363,657474,7267,1034712,3449,0,68124,0,0,287499,212,0,110.47419843126463,1.0,cube,16,27,5,supermesh_alter,xy,wormhole,2,16,mesh2d,xy,credit_vc,2,nearest,load_aware
