trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-4165871.04,16,col,1,True,3534310,5210163,44484,1040472,7392,0,1098456,0,0,1331796,1040,0,72.18919161945868,1.0,cube,16,27,5,supermesh_alter,xy,credit_vc,2,4,mesh2d,xy,credit_vc,4,load_aware,load_aware
1,-4076331.156,16,k_split,1,True,3500557,5210163,10731,1040472,7638,0,540096,0,0,667680,956,0,299.2511415525114,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,4,butterfly,ugal,credit_vc,1,nearest,nearest
2,-627653.716,4,block,4,False,366712,325698,2583,518200,3942,18216,10531,0,0,581640,216,0,310.80758807588074,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,8,mesh2d,table_based,credit_vc,1,load_aware,round_robin
3,-4081972.44,16,entwined_ring,2,True,3501793,5210163,11967,1040472,7392,0,584640,0,0,803508,1040,0,268.34327734603494,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,4,mesh2d,xy,credit_vc,4,nearest,load_aware
4,-775667.494,4,block,4,True,498661,648243,14748,518200,4681,65475,169701,0,0,192438,194,0,54.435584486032006,1.0,cube,16,27,5,butterfly,table_based,credit_vc,2,4,flat_butterfly,xy,wormhole,1,load_aware,nearest
5,-2328366.5560000003,16,hybrid_nk,7,False,1786316,2629698,16800,1040472,7638,0,202860,0,0,6676380,956,0,191.14666666666668,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,8,flat_butterfly,ugal,wormhole,1,nearest,nearest
6,-2432093.44,16,col,1,False,1793450,2629698,23934,1040472,7392,0,1169280,0,0,803508,1040,0,134.17163867301747,1.0,cube,16,27,5,supermesh_bi,table_based,wormhole,1,16,mesh2d,table_based,credit_vc,4,nearest,load_aware
7,-4317231.248,16,streaming,1,True,3540586,5210163,50760,1040472,9363,0,2545356,0,0,804072,1048,0,63.26367218282112,1.0,cube,16,27,5,supermesh_bi,xy,credit_vc,1,8,butterfly,xy,wormhole,4,load_aware,round_robin
8,-4123566.2399999998,16,col,7,True,3528397,5210163,38571,1040472,7392,0,734538,0,0,3607260,1040,0,83.25591765834436,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,2,16,mesh2d,ugal,credit_vc,8,nearest,load_aware
9,-1271636.112,4,block,1,False,722049,657474,19953,1034712,3449,0,315411,0,0,169863,212,0,40.235353079737386,1.0,cube,16,27,5,supermesh_bi,table_based,wormhole,1,8,mesh2d,table_based,credit_vc,2,nearest,load_aware
10,-4088706.2399999998,16,k_split,1,True,3512068,5210163,22242,1040472,7392,0,549228,0,0,1331796,1040,0,144.37838323891737,1.0,cube,16,27,5,mesh2d,xy,credit_vc,2,4,butterfly,ugal,credit_vc,8,load_aware,load_aware
11,-4088359.448,16,entwined_ring,4,True,3511372,5210163,21546,1040472,9363,0,548778,0,0,1321944,1048,0,149.0422352176738,1.0,cube,16,27,5,supermesh_alter,xy,wormhole,2,8,butterfly,ugal,credit_vc,8,load_aware,round_robin
12,-2347866.5560000003,16,entwined_ring,1,False,1784348,2629698,14832,1040472,7638,0,417540,0,0,1030956,956,0,216.5091693635383,1.0,cube,16,27,5,supermesh_bi,xy,wormhole,2,4,mesh2d,xy,wormhole,8,load_aware,nearest
13,-2365746.04,16,k_split,7,False,1824182,2629698,54666,1040472,7392,0,198486,0,0,9274776,1040,0,58.74335052866498,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,4,16,mesh2d,xy,wormhole,8,nearest,load_aware
14,-2368396.2399999998,16,col,1,False,1791758,2629698,22242,1040472,7392,0,549228,0,0,1331796,1040,0,144.37838323891737,1.0,cube,16,27,5,supermesh_bi,xy,credit_vc,2,16,flat_butterfly,ugal,wormhole,4,nearest,load_aware
15,-2610592.156,16,col,2,False,1853048,2629698,83532,1040472,7638,0,2357796,0,0,3370008,956,0,38.44351865153474,1.0,cube,16,27,5,supermesh_alter,ugal,wormhole,2,8,butterfly,table_based,credit_vc,2,load_aware,nearest
16,-1400698.4120000002,4,expert,1,True,879901,1302579,7419,1034712,3449,0,27514,0,0,709995,212,0,108.21081008222133,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,8,flat_butterfly,table_based,credit_vc,4,load_aware,load_aware
17,-4293265.44,16,row,1,True,3537694,5210163,47868,1040472,7392,0,2338560,0,0,803508,1040,0,67.08581933650873,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,16,flat_butterfly,ugal,credit_vc,1,nearest,load_aware
18,-312477.594,4,k_split,7,False,230739,105154,7938,149059,4681,119000,62685,42,0,818145,194,0,101.1358024691358,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,2,4,flat_butterfly,table_based,wormhole,1,nearest,nearest
19,-1303947.012,4,row,1,False,755184,657474,53088,1034712,3449,0,307170,0,0,810945,212,0,15.122362869198312,1.0,cube,16,27,5,supermesh_alter,ugal,credit_vc,2,4,flat_butterfly,ugal,wormhole,2,load_aware,load_aware
20,-1271636.112,4,expert,1,False,722049,657474,19953,1034712,3449,0,315411,0,0,169863,212,0,40.235353079737386,1.0,cube,16,27,5,supermesh_bi,xy,credit_vc,1,16,mesh2d,table_based,credit_vc,2,load_aware,load_aware
21,-724851.716,4,streaming,4,False,624502,173634,91207,64938,3942,504650,670921,0,0,472530,216,0,8.802131415351893,1.0,cube,16,27,5,butterfly,ugal,wormhole,1,8,mesh2d,ugal,wormhole,1,nearest,round_robin
22,-3664476.556,16,k_split,4,False,1969160,2629698,199644,1040472,7638,0,11735520,0,0,1553316,956,0,16.084951213159425,1.0,cube,16,27,5,butterfly,ugal,credit_vc,1,8,butterfly,table_based,wormhole,2,nearest,nearest
23,-2372017.2399999998,16,k_split,4,False,1804328,2629698,34812,1040472,7392,0,459738,0,0,6695724,1040,0,92.24589222107319,1.0,cube,16,27,5,supermesh_alter,ugal,wormhole,4,8,butterfly,table_based,wormhole,1,load_aware,load_aware
24,-473802.694,4,col,7,False,389273,95262,5771,149294,4681,288066,89463,0,0,130515,194,0,139.11211228556576,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,8,mesh2d,ugal,wormhole,4,load_aware,nearest
25,-232077.694,4,streaming,7,False,206245,105154,12366,21292,4681,131833,142503,0,0,201906,194,0,64.92123564612648,1.0,cube,16,27,5,supermesh_bi,table_based,credit_vc,2,16,mesh2d,xy,credit_vc,4,nearest,nearest
26,-4157110.956,16,row,1,True,3515110,5210163,25284,1040472,7638,0,1202364,0,0,1074684,956,0,127.0077519379845,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,1,16,mesh2d,table_based,wormhole,8,load_aware,nearest
27,-2342803.2399999998,16,entwined_ring,2,False,1791200,2629698,21684,1040472,7392,0,298878,0,0,3049704,1040,0,148.0937096476665,1.0,cube,16,27,5,supermesh_bi,xy,wormhole,4,16,butterfly,ugal,credit_vc,2,nearest,load_aware
28,-2394251.4480000003,16,streaming,7,False,1813475,2629698,43959,1040472,9363,0,586668,0,0,3694260,1048,0,73.05134329716327,1.0,cube,16,27,5,supermesh_alter,ugal,wormhole,2,8,butterfly,ugal,wormhole,2,load_aware,round_robin
29,-726260.812,4,entwined_ring,2,True,464816,651315,10119,518200,3449,28558,16548,0,0,764127,212,0,79.3374839411009,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,16,flat_butterfly,ugal,credit_vc,8,nearest,load_aware
30,-753238.616,4,col,2,False,484159,328770,14370,518200,3942,132591,91910,0,0,792441,216,0,55.86750173973556,1.0,cube,16,27,5,supermesh_bi,ugal,credit_vc,2,16,flat_butterfly,table_based,wormhole,1,load_aware,round_robin
31,-700449.5120000001,4,k_split,2,False,424953,334914,9976,518072,3449,67241,157705,0,0,169863,212,0,80.4747393744988,1.0,cube,16,27,5,supermesh_bi,xy,credit_vc,1,8,butterfly,ugal,credit_vc,4,load_aware,load_aware
32,-4164583.448,16,block,1,True,3515206,5210163,25380,1040472,9363,0,1272678,0,0,804072,1048,0,126.52734436564224,1.0,cube,16,27,5,supermesh_bi,xy,wormhole,1,4,mesh2d,table_based,wormhole,2,load_aware,round_robin
33,-759302.094,4,k_split,2,False,471370,334914,74253,518072,4681,113658,279597,0,0,762441,194,0,10.811899855898078,1.0,cube,16,27,5,supermesh_alter,ugal,credit_vc,2,16,butterfly,xy,credit_vc,1,load_aware,nearest
34,-1234477.9120000002,4,expert,1,False,714610,657474,12514,1034712,3449,0,18219,0,0,1237896,212,0,64.15342816046028,1.0,cube,16,27,5,supermesh_bi,ugal,wormhole,4,16,mesh2d,table_based,wormhole,4,load_aware,load_aware
35,-1419562.8159999999,4,expert,1,True,888127,1302579,15645,1034712,3942,0,132912,0,0,294216,216,0,51.31454138702461,1.0,cube,16,27,5,supermesh_bi,table_based,credit_vc,2,8,mesh2d,ugal,wormhole,1,load_aware,round_robin
36,-475121.994,4,col,4,True,335887,325683,7573,259944,4681,117741,83253,13,0,214158,194,0,106.01029974910868,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,1,4,butterfly,table_based,credit_vc,4,nearest,nearest
37,-1235105.694,4,expert,1,False,707867,657474,5771,1034712,4681,0,89463,0,0,130515,194,0,139.11211228556576,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,4,flat_butterfly,table_based,credit_vc,4,nearest,nearest
38,-4152403.44,16,k_split,4,True,3513760,5210163,23934,1040472,7392,0,1169280,0,0,803508,1040,0,134.17163867301747,1.0,cube,16,27,5,supermesh_bi,table_based,wormhole,1,16,butterfly,ugal,credit_vc,2,nearest,load_aware
39,-2526076.2399999998,16,streaming,1,False,1908044,2629698,138528,1040472,7392,0,963168,0,0,3863652,1040,0,23.181335181335182,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,2,16,mesh2d,table_based,wormhole,4,nearest,load_aware
40,-2311436.0560000003,16,streaming,2,False,1777154,2629698,7215,1040472,7638,0,125175,0,0,2311428,956,0,445.0816354816355,1.0,cube,16,27,5,mesh2d,table_based,wormhole,4,16,butterfly,xy,credit_vc,8,nearest,nearest
41,-442854.812,4,col,4,False,307112,164418,4600,259944,3449,130808,50808,0,0,239031,212,0,174.52521739130435,1.0,cube,16,27,5,butterfly,xy,credit_vc,2,16,mesh2d,ugal,credit_vc,2,nearest,load_aware
42,-2316994.248,16,k_split,1,False,1780766,2629698,11250,1040472,9363,0,141186,0,0,3341676,1048,0,285.44568888888887,1.0,cube,16,27,5,supermesh_alter,table_based,wormhole,4,8,mesh2d,table_based,wormhole,4,nearest,round_robin
43,-434425.79400000005,4,col,4,True,301987,325683,2535,259944,4681,83841,15304,0,0,444195,194,0,316.69270216962525,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,8,flat_butterfly,table_based,wormhole,1,load_aware,nearest
44,-1313309.4120000002,4,row,1,False,780918,657474,78822,1034712,3449,0,143454,0,0,944085,212,0,10.185176727309635,1.0,cube,16,27,5,butterfly,ugal,wormhole,4,8,mesh2d,xy,credit_vc,8,load_aware,load_aware
45,-1227505.416,4,col,1,False,706038,657474,3911,1034712,3942,0,33228,0,0,294216,216,0,205.27128611608285,1.0,cube,16,27,5,supermesh_alter,xy,credit_vc,2,16,butterfly,ugal,credit_vc,8,load_aware,round_robin
46,-4165871.04,16,hybrid_nk,2,True,3534310,5210163,44484,1040472,7392,0,1098456,0,0,1331796,1040,0,72.18919161945868,1.0,cube,16,27,5,supermesh_alter,table_based,credit_vc,2,16,butterfly,ugal,wormhole,2,load_aware,load_aware
47,-2328510.3479999998,16,entwined_ring,4,False,1780580,2629698,11064,1040472,9363,0,258207,0,0,4231728,1048,0,290.2443962400578,1.0,cube,16,27,5,butterfly,xy,wormhole,4,4,flat_butterfly,table_based,wormhole,2,load_aware,round_robin
48,-1232829.616,4,streaming,1,False,713139,657474,11043,1034712,3942,0,15460,0,0,1206540,216,0,72.69908539346193,1.0,cube,16,27,5,supermesh_bi,ugal,credit_vc,4,8,mesh2d,table_based,credit_vc,2,load_aware,round_robin
49,-2371108.456,16,entwined_ring,4,False,1790399,2629698,20883,1040472,7638,0,589449,0,0,3370008,956,0,153.77407460613895,1.0,cube,16,27,5,supermesh_alter,ugal,wormhole,2,8,butterfly,xy,wormhole,4,nearest,nearest
