trial_idx,score,batch_size,partition_strategy,partition_shards,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-723380.816,4,expert,1,697907,657474,30920,3942,0,92252,0,0,175458,216,0,144.1062645844552,1.0,cube,16,27,5,mesh2d,xy,credit_vc,1,16,mesh2d,table_based,wormhole,1,nearest,round_robin
1,-713172.0939999999,4,expert,1,695552,657474,30920,4681,0,12231,6,0,469587,194,0,324.10819539765845,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,2,4,flat_butterfly,xy,credit_vc,8,load_aware,nearest
2,-723052.216,4,expert,1,700158,657474,30920,3942,0,66456,0,0,294216,216,0,102.63564305804142,1.0,cube,16,27,5,mesh2d,xy,wormhole,2,4,flat_butterfly,xy,wormhole,1,load_aware,round_robin
3,-3428554.556,16,k_split,4,3158528,2629698,491720,7638,0,226092,288,0,7632648,956,0,108.9598262757872,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,4,4,flat_butterfly,xy,credit_vc,1,load_aware,nearest
4,-3450616.556,16,k_split,4,3162656,2629698,491720,7638,0,405720,0,0,6676380,956,0,95.57333333333334,1.0,cube,16,27,5,mesh2d,ugal,wormhole,4,4,mesh2d,table_based,credit_vc,2,nearest,nearest
5,-3510381.448,16,col,2,3184979,2629698,491720,9363,0,776610,78,0,1031352,1048,0,59.25059965312373,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,4,flat_butterfly,ugal,credit_vc,2,load_aware,round_robin
6,-3429609.748,16,col,7,3161354,2629698,491720,9363,0,205221,0,0,6972072,1048,0,105.03594675040068,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,4,flat_butterfly,table_based,wormhole,8,load_aware,round_robin
7,-152984.91199999998,4,k_split,7,144498,105154,4588,3449,16469,55029,0,0,709995,212,0,54.105405041110664,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,4,flat_butterfly,table_based,credit_vc,8,load_aware,load_aware
8,-3402403.556,16,k_split,4,3143792,2629698,491720,7638,0,112230,0,0,7629624,956,0,217.9196525515744,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,4,16,flat_butterfly,xy,wormhole,8,nearest,nearest
9,-196635.512,4,k_split,4,190846,173634,7880,3449,3606,11595,0,0,426732,212,0,352.5761967501098,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,16,mesh2d,xy,wormhole,2,nearest,load_aware
10,-4430789.847999999,16,col,1,3451481,2629698,491720,9363,0,7315752,0,0,2730228,1048,0,10.013295915185532,1.0,cube,16,27,5,mesh2d,ugal,wormhole,1,4,mesh2d,xy,wormhole,1,nearest,round_robin
11,-3388665.656,16,k_split,2,3132938,2629698,491720,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,4,mesh2d,table_based,wormhole,8,load_aware,nearest
12,-3401935.34,16,expert,1,3139652,2629698,491720,7392,0,149439,0,0,3049704,1040,0,296.187419295333,1.0,cube,16,27,5,mesh2d,xy,wormhole,4,4,mesh2d,table_based,credit_vc,1,nearest,load_aware
13,-805058.0939999999,4,expert,1,738348,657474,30920,4681,0,503137,0,0,543360,194,0,17.73277671018046,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,1,16,flat_butterfly,xy,credit_vc,8,nearest,nearest
14,-3433030.556,16,expert,1,3143888,2629698,491720,7638,0,417540,0,0,1030956,956,0,216.5091693635383,1.0,cube,16,27,5,mesh2d,table_based,wormhole,2,8,flat_butterfly,table_based,credit_vc,1,nearest,nearest
15,-3530479.04,16,expert,1,3173294,2629698,491720,7392,0,1098456,0,0,1331796,1040,0,72.18919161945868,1.0,cube,16,27,5,mesh2d,xy,wormhole,2,4,flat_butterfly,ugal,credit_vc,1,load_aware,load_aware
16,-723052.216,4,expert,1,700158,657474,30920,3942,0,66456,0,0,294216,216,0,102.63564305804142,1.0,cube,16,27,5,mesh2d,xy,credit_vc,2,8,mesh2d,ugal,credit_vc,2,load_aware,round_robin
17,-3680557.048,16,col,7,3262187,2629698,491720,9363,0,1706340,24,0,1802808,1048,0,24.4377273488273,1.0,cube,16,27,5,torus2d,ugal,wormhole,1,4,mesh2d,xy,credit_vc,4,nearest,round_robin
18,-3446580.44,16,k_split,2,3140777,2629698,491720,7392,0,584640,0,0,803508,1040,0,268.34327734603494,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,4,mesh2d,table_based,credit_vc,8,nearest,load_aware
19,-712370.894,4,k_split,1,695694,657474,30920,4681,0,2805,0,0,837609,194,0,306.5353188239786,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,4,16,flat_butterfly,ugal,credit_vc,4,nearest,nearest
20,-3413333.456,16,expert,1,3141887,2629698,491720,7638,0,240573,6,0,1968120,956,0,250.27386797599564,1.0,cube,16,27,5,torus2d,ugal,credit_vc,2,4,mesh2d,xy,credit_vc,4,nearest,nearest
21,-713726.394,4,expert,1,696127,657474,30920,4681,0,12030,0,0,503346,194,0,263.04587155963304,1.0,cube,16,27,5,torus2d,xy,wormhole,4,16,mesh2d,table_based,wormhole,1,nearest,nearest
22,-776578.4160000001,4,expert,1,746915,657474,30920,3942,0,134148,0,0,458196,216,0,14.709247146338335,1.0,cube,16,27,5,torus2d,ugal,credit_vc,2,16,flat_butterfly,table_based,wormhole,4,nearest,round_robin
23,-3789017.848,16,col,1,3306617,2629698,491720,9363,0,2346672,0,0,3694260,1048,0,18.262835824290818,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,2,16,flat_butterfly,table_based,wormhole,1,nearest,round_robin
24,-746912.6120000001,4,k_split,1,708625,657474,30920,3449,0,221376,0,0,114036,212,0,47.83792158264808,1.0,cube,16,27,5,torus2d,table_based,credit_vc,1,8,flat_butterfly,ugal,credit_vc,4,nearest,load_aware
25,-725182.116,4,k_split,1,705632,657474,30920,3942,0,33015,0,0,416475,216,0,60.380264741275575,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,16,mesh2d,xy,credit_vc,8,nearest,round_robin
26,-3484585.048,16,col,2,3152297,2629698,491720,9363,0,845544,0,0,544248,1048,0,149.25004647704034,1.0,cube,16,27,5,torus2d,xy,credit_vc,1,8,mesh2d,xy,wormhole,4,load_aware,round_robin
27,-733450.694,4,expert,1,712161,657474,30920,4681,0,48930,3,0,418653,194,0,42.06308288798072,1.0,cube,16,27,5,torus2d,ugal,wormhole,2,4,flat_butterfly,table_based,wormhole,1,nearest,nearest
28,-206408.294,4,k_split,4,198471,173634,7880,4681,7206,30609,0,0,444195,194,0,158.34635108481262,1.0,cube,16,27,5,mesh2d,xy,wormhole,4,8,flat_butterfly,table_based,credit_vc,8,nearest,nearest
29,-160803.81199999998,4,k_split,7,144195,105154,4588,3449,16469,136248,0,0,287499,212,0,55.23329893360853,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,2,8,flat_butterfly,table_based,wormhole,1,load_aware,load_aware
30,-3657948.956,16,k_split,7,3193448,2629698,491720,7638,0,2171124,0,0,1335288,956,0,49.87054292458691,1.0,cube,16,27,5,torus2d,ugal,wormhole,1,16,flat_butterfly,table_based,wormhole,2,load_aware,nearest
31,-241367.194,4,col,4,222511,164418,7880,4681,8406,139798,0,0,762441,194,0,21.62409093357755,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,8,mesh2d,table_based,wormhole,2,nearest,nearest
32,-3981948.956,16,expert,1,3557264,2629698,491720,7638,0,1772736,228,0,1320768,956,0,7.499308747150917,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,4,mesh2d,xy,wormhole,1,load_aware,nearest
33,-130158.61200000001,4,k_split,7,126494,105154,4588,3449,4126,6806,0,0,721437,212,0,87.48131197559115,0.7416367004467691,cube,16,27,5,torus2d,ugal,credit_vc,4,4,mesh2d,xy,wormhole,2,nearest,load_aware
34,-3416542.34,16,expert,1,3146216,2629698,491720,7392,0,229869,0,0,6695724,1040,0,184.49178444214638,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,8,flat_butterfly,ugal,wormhole,8,nearest,load_aware
35,-3416726.548,16,col,4,3141554,2629698,491720,9363,0,274389,0,0,1321944,1048,0,298.0844704353476,1.0,cube,16,27,5,mesh2d,table_based,wormhole,2,16,mesh2d,ugal,wormhole,1,load_aware,round_robin
36,-3448778.756,16,col,4,3144944,2629698,491720,7638,0,564300,162,0,801888,956,0,202.11883182275932,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,1,4,mesh2d,table_based,credit_vc,1,load_aware,nearest
37,-3396236.756,16,k_split,7,3132710,2629698,491720,7638,0,161382,0,0,744324,956,0,878.8352490421456,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,8,mesh2d,table_based,wormhole,8,nearest,nearest
38,-3442120.04,16,col,7,3142712,2629698,491720,7392,0,520662,24,0,729732,1040,0,230.99295065458207,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,1,8,flat_butterfly,ugal,credit_vc,8,load_aware,load_aware
39,-3398158.348,16,k_split,2,3141566,2629698,491720,9363,0,88587,0,0,1970868,1048,0,297.75280482151135,1.0,cube,16,27,5,torus2d,xy,credit_vc,4,8,mesh2d,xy,wormhole,2,load_aware,round_robin
40,-127189.616,4,col,7,119699,95262,4588,3942,9612,44080,0,0,190158,216,0,127.53232724384432,1.0,cube,16,27,5,torus2d,xy,wormhole,2,8,flat_butterfly,ugal,wormhole,1,load_aware,round_robin
41,-397716.494,4,col,2,375357,328770,15560,4681,11202,136413,18,0,141726,194,0,53.0121500264131,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,1,4,mesh2d,table_based,credit_vc,2,nearest,nearest
42,-374833.39400000003,4,k_split,2,361342,334914,15560,4681,2402,47750,0,0,90807,194,0,212.10462351387054,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,8,mesh2d,xy,wormhole,1,nearest,nearest
43,-3427721.2399999998,16,col,2,3150494,2629698,491720,7392,0,298878,0,0,3049704,1040,0,148.0937096476665,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,4,4,mesh2d,table_based,credit_vc,4,load_aware,load_aware
44,-3600199.04,16,expert,1,3205952,2629698,491720,7392,0,1469076,0,0,3607260,1040,0,41.62795882917218,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,4,flat_butterfly,table_based,credit_vc,8,nearest,load_aware
45,-3657948.956,16,k_split,7,3193448,2629698,491720,7638,0,2171124,0,0,1335288,956,0,49.87054292458691,1.0,cube,16,27,5,torus2d,ugal,wormhole,1,8,flat_butterfly,ugal,credit_vc,8,load_aware,nearest
46,-236496.61599999998,4,col,4,213386,164418,7880,3942,8406,183820,0,0,792441,216,0,27.93375086986778,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,2,8,flat_butterfly,table_based,wormhole,1,nearest,round_robin
47,-126243.616,4,k_split,7,120957,105154,4588,3942,4126,22040,0,0,190158,216,0,255.1051795360661,1.0,cube,16,27,5,torus2d,table_based,credit_vc,2,16,flat_butterfly,ugal,credit_vc,1,load_aware,round_robin
48,-3388665.656,16,k_split,2,3132938,2629698,491720,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,8,flat_butterfly,ugal,wormhole,4,load_aware,nearest
49,-3446580.44,16,col,2,3140777,2629698,491720,7392,0,584640,0,0,803508,1040,0,268.34327734603494,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,8,mesh2d,xy,credit_vc,8,load_aware,load_aware
50,-3490550.2399999998,16,expert,1,3169058,2629698,491720,7392,0,741480,48,0,844620,1040,0,79.78692108924668,1.0,cube,16,27,5,torus2d,xy,wormhole,2,4,mesh2d,ugal,credit_vc,1,load_aware,load_aware
51,-139474.216,4,k_split,7,129746,105154,4588,3942,8240,66456,0,0,294216,216,0,102.63564305804142,1.0,cube,16,27,5,mesh2d,xy,wormhole,2,8,flat_butterfly,xy,credit_vc,4,load_aware,round_robin
52,-123968.212,4,col,7,113099,95262,4588,3449,4812,78852,0,0,169863,212,0,160.9494787489976,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,4,flat_butterfly,xy,credit_vc,1,load_aware,load_aware
53,-149872.394,4,k_split,7,141749,105154,4588,4681,8240,48930,0,0,418653,194,0,42.06308288798072,1.0,cube,16,27,5,torus2d,ugal,wormhole,2,16,mesh2d,table_based,credit_vc,2,nearest,nearest
54,-738178.0160000001,4,expert,1,703479,657474,30920,3942,0,184504,0,0,175458,216,0,72.04666606838374,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,4,flat_butterfly,table_based,wormhole,4,nearest,round_robin
55,-3531416.156,16,k_split,4,3202538,2629698,491720,7638,0,814896,0,0,1143132,956,0,43.70136904275877,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,16,mesh2d,ugal,credit_vc,2,nearest,nearest
56,-805058.0939999999,4,expert,1,738348,657474,30920,4681,0,503137,0,0,543360,194,0,17.73277671018046,1.0,cube,16,27,5,mesh2d,ugal,wormhole,1,8,flat_butterfly,table_based,wormhole,4,load_aware,nearest
57,-729991.716,4,k_split,1,704927,657474,30920,3942,0,88161,0,0,190158,216,0,63.76109919783973,1.0,cube,16,27,5,torus2d,table_based,wormhole,2,16,mesh2d,xy,credit_vc,4,nearest,round_robin
58,-3490423.04,16,k_split,7,3169046,2629698,491720,7392,0,740376,0,0,843840,1040,0,79.8107167710508,1.0,cube,16,27,5,torus2d,xy,wormhole,2,16,flat_butterfly,ugal,wormhole,4,load_aware,load_aware
59,-713726.394,4,expert,1,696127,657474,30920,4681,0,12030,0,0,503346,194,0,263.04587155963304,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,8,mesh2d,ugal,credit_vc,4,load_aware,nearest
60,-734843.9160000001,4,col,1,705071,657474,30920,3942,0,135240,3,0,139278,216,0,63.0401256380055,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,1,8,flat_butterfly,table_based,wormhole,8,nearest,round_robin
