topology,rows,cols,k,n,constraint,link_universe,planner,config_id,C,color_lower_bound,balance_ratio,min_links_per_color,max_links_per_color,planner_used,ilp_fallback_used,monochrome_rate,edge_conflicts,makespan_cycles,color_buffer_wait_cycles,link_wait_cycles,avg_latency,total_flits
tdm_fb_k4_n2,4,4,4,2,A,full,greedy_first_fit,A|full|greedy_first_fit,4,4,2.0,16,32,greedy_first_fit,False,1.0,0,75,172,0,31.75,160
tdm_fb_k4_n2,4,4,4,2,A,full,greedy_best_fit_balanced,A|full|greedy_best_fit_balanced,4,4,1.0,24,24,greedy_best_fit_balanced,False,1.0,0,76,199,0,32.322916666666664,160
tdm_fb_k4_n2,4,4,4,2,A,full,per_edge_round_robin,A|full|per_edge_round_robin,4,4,1.1363636363636365,22,25,per_edge_round_robin,False,1.0,0,77,210,0,31.729166666666668,160
tdm_fb_k4_n2,4,4,4,2,A,full,ilp_min_C,A|full|ilp_min_C,4,4,2.75,16,44,ilp_min_C,False,1.0,0,74,175,0,31.760416666666668,160
tdm_fb_k4_n2,4,4,4,2,A,full,ilp_min_C_then_balance,A|full|ilp_min_C_then_balance,4,4,1.0,24,24,ilp_min_C_then_balance,False,1.0,0,78,206,0,32.291666666666664,160
tdm_fb_k4_n2,4,4,4,2,A,nd_active,greedy_first_fit,A|nd_active|greedy_first_fit,4,4,1.0,24,24,greedy_first_fit,False,1.0,0,76,199,0,32.322916666666664,160
tdm_fb_k4_n2,4,4,4,2,A,nd_active,greedy_best_fit_balanced,A|nd_active|greedy_best_fit_balanced,4,4,1.0,24,24,greedy_best_fit_balanced,False,1.0,0,76,199,0,32.322916666666664,160
tdm_fb_k4_n2,4,4,4,2,A,nd_active,per_edge_round_robin,A|nd_active|per_edge_round_robin,4,4,1.1363636363636365,22,25,per_edge_round_robin,False,1.0,0,77,210,0,31.729166666666668,160
tdm_fb_k4_n2,4,4,4,2,A,nd_active,ilp_min_C,A|nd_active|ilp_min_C,4,4,1.1818181818181819,22,26,ilp_min_C,False,1.0,0,76,183,0,32.239583333333336,160
tdm_fb_k4_n2,4,4,4,2,A,nd_active,ilp_min_C_then_balance,A|nd_active|ilp_min_C_then_balance,4,4,1.0,24,24,ilp_min_C_then_balance,False,1.0,0,79,172,0,32.020833333333336,160
tdm_fb_k4_n2,4,4,4,2,A+B,full,greedy_first_fit,A+B|full|greedy_first_fit,4,4,2.0,16,32,greedy_first_fit,False,1.0,0,75,172,0,31.75,160
tdm_fb_k4_n2,4,4,4,2,A+B,full,greedy_best_fit_balanced,A+B|full|greedy_best_fit_balanced,4,4,2.0,16,32,greedy_best_fit_balanced,False,1.0,0,75,172,0,31.75,160
tdm_fb_k4_n2,4,4,4,2,A+B,full,per_edge_round_robin,A+B|full|per_edge_round_robin,4,4,2.0,16,32,per_edge_round_robin,False,1.0,0,75,172,0,31.75,160
tdm_fb_k4_n2,4,4,4,2,A+B,full,ilp_min_C,A+B|full|ilp_min_C,4,4,1.1818181818181819,22,26,ilp_min_C,False,1.0,0,74,175,0,31.760416666666668,160
tdm_fb_k4_n2,4,4,4,2,A+B,full,ilp_min_C_then_balance,A+B|full|ilp_min_C_then_balance,4,4,1.0,24,24,ilp_min_C_then_balance,False,1.0,0,79,172,0,32.020833333333336,160
tdm_fb_k4_n2,4,4,4,2,A+B,nd_active,greedy_first_fit,A+B|nd_active|greedy_first_fit,4,4,2.0,16,32,greedy_first_fit,False,1.0,0,75,172,0,31.75,160
tdm_fb_k4_n2,4,4,4,2,A+B,nd_active,greedy_best_fit_balanced,A+B|nd_active|greedy_best_fit_balanced,4,4,2.0,16,32,greedy_best_fit_balanced,False,1.0,0,75,172,0,31.75,160
tdm_fb_k4_n2,4,4,4,2,A+B,nd_active,per_edge_round_robin,A+B|nd_active|per_edge_round_robin,4,4,2.0,16,32,per_edge_round_robin,False,1.0,0,75,172,0,31.75,160
tdm_fb_k4_n2,4,4,4,2,A+B,nd_active,ilp_min_C,A+B|nd_active|ilp_min_C,4,4,1.1818181818181819,22,26,ilp_min_C,False,1.0,0,74,175,0,31.760416666666668,160
tdm_fb_k4_n2,4,4,4,2,A+B,nd_active,ilp_min_C_then_balance,A+B|nd_active|ilp_min_C_then_balance,4,4,1.0,24,24,ilp_min_C_then_balance,False,1.0,0,79,172,0,32.020833333333336,160
tdm_fb_k2_n4,4,4,2,4,A,full,greedy_first_fit,A|full|greedy_first_fit,2,2,1.0,32,32,greedy_first_fit,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A,full,greedy_best_fit_balanced,A|full|greedy_best_fit_balanced,2,2,1.0,32,32,greedy_best_fit_balanced,False,1.0,0,39,25,0,17.421875,96
tdm_fb_k2_n4,4,4,2,4,A,full,per_edge_round_robin,A|full|per_edge_round_robin,2,2,1.0,32,32,per_edge_round_robin,False,1.0,0,37,32,0,17.796875,96
tdm_fb_k2_n4,4,4,2,4,A,full,ilp_min_C,A|full|ilp_min_C,2,2,1.0,32,32,ilp_min_C,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A,full,ilp_min_C_then_balance,A|full|ilp_min_C_then_balance,2,2,1.0,32,32,ilp_min_C_then_balance,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A,nd_active,greedy_first_fit,A|nd_active|greedy_first_fit,2,2,1.0,32,32,greedy_first_fit,False,1.0,0,39,25,0,17.421875,96
tdm_fb_k2_n4,4,4,2,4,A,nd_active,greedy_best_fit_balanced,A|nd_active|greedy_best_fit_balanced,2,2,1.0,32,32,greedy_best_fit_balanced,False,1.0,0,39,25,0,17.421875,96
